time	inactive	active	F	W	F_bound	vWA_bound	IF_IFclustered	IW_IWclustered	IF_IWclustered	Sum	Experiment
4.363636363636363e-06	9.425100595797075e-06	2.8798191149420377e-07	0.41001546687072266	0.49999424844859813	0.021205689672912337	3.426166469926944e-06	0.014388259411298038	3.755785910520843e-10	2.324633774414692e-06	0.049999997763191646	day25
4.525252525252525e-06	6.883497035797656e-06	2.103361663411164e-07	0.4100128479409181	0.4999942481290976	0.021206170837348246	3.426276921445702e-06	0.014389328189497523	3.7561821653299863e-10	2.3248427441670673e-06	0.049999997763191646	day25
4.686868686868687e-06	5.027439516086206e-06	1.5363353805445506e-07	0.4100109354141292	0.49999424789573854	0.021206522212494337	3.4263576013541984e-06	0.014390108689008304	3.7564715942374365e-10	2.3249953654427282e-06	0.049999997763191646	day25
4.848484848484848e-06	3.672014864515059e-06	1.1222512909945519e-07	0.41000953875152074	0.4999942477252865	0.021206778808863787	3.426416540452985e-06	0.014390678666392496	3.7566830074460667e-10	2.3251068361040675e-06	0.04999999776319166	day25
5.01010101010101e-06	2.6821860579828903e-06	8.198565281150366e-08	0.41000851880775074	0.49999424760077366	0.021206966192620278	3.4264596031980548e-06	0.01439109490568971	3.7568374461523763e-10	2.325188255235403e-06	0.049999997763191646	day25
5.1717171717171715e-06	1.959340751376765e-06	5.990254028671024e-08	0.4100077739702961	0.4999942475098091	0.021207103033166173	3.4264910720603176e-06	0.014391398874407506	3.7569502769534876e-10	2.325247728342444e-06	0.049999997763191646	day25
5.333333333333333e-06	1.4314663729745721e-06	4.377582019506351e-08	0.41000723003566264	0.499994247443344	0.02120720296370548	3.4265140742902568e-06	0.014391620854731394	3.7570327219908865e-10	2.325291174688832e-06	0.04999999776319165	day25
5.494949494949495e-06	1.0459733282854501e-06	3.199888165360425e-08	0.41000683281425326	0.49999424739477016	0.0212072759401739	3.4265308936342696e-06	0.014391782961330701	3.7570929768992595e-10	2.325322917092288e-06	0.04999999776319166	day25
5.656565656565656e-06	7.644579869467769e-07	2.3398490209397506e-08	0.4100065427340287	0.499994247359262	0.02120732923282596	3.4265431977839765e-06	0.014391901343519337	3.757137026707177e-10	2.325346112337565e-06	0.04999999776319165	day25
5.818181818181818e-06	5.588744808112349e-07	1.7117839639471044e-08	0.41000633089583877	0.4999942473332953	0.021207368151022275	3.4265522046318732e-06	0.014391987795039406	3.757169242316331e-10	2.325363065821646e-06	0.04999999776319166	day25
5.97979797979798e-06	4.087421575091096e-07	1.253124116078652e-08	0.41000617619591595	0.4999942473142965	0.02120739657192993	3.426558803545811e-06	0.014392050928349389	3.7571928156459716e-10	2.3253754610851294e-06	0.04999999776319166	day25
6.141414141414141e-06	2.9910435748660386e-07	9.181764626623382e-09	0.41000606322254984	0.49999424730038605	0.021207417326962505	3.426563644012943e-06	0.01439209703298291	3.7572100777218007e-10	2.3253845275942314e-06	0.04999999776319165	day25
6.3030303030303026e-06	2.1903863240180836e-07	6.7357257543662705e-09	0.41000598072098043	0.49999424729019165	0.021207432483816655	3.4265672003343573e-06	0.014392130702022781	3.7572227308428545e-10	2.325391163198849e-06	0.04999999776319165	day25
6.464646464646464e-06	1.6056869730417737e-07	4.949446364389167e-09	0.4100059204722467	0.49999424728271086	0.021207443552458197	3.4265698188754174e-06	0.014392155289638687	3.7572320181447414e-10	2.325396023568991e-06	0.04999999776319166	day25
6.626262626262626e-06	1.178695566318198e-07	3.6449707814967823e-09	0.41000587647412956	0.49999424727721187	0.02120745163559573	3.4265717525824545e-06	0.014392173245346546	3.757238847480076e-10	2.325399587534567e-06	0.04999999776319166	day25
6.7878787878787874e-06	8.668757085949205e-08	2.6923487524789943e-09	0.41000584434357357	0.49999424727315994	0.021207457538469573	3.4265731861666176e-06	0.014392186357879007	3.7572438818001037e-10	2.325402204756347e-06	0.04999999776319166	day25
6.949494949494949e-06	6.391721292061165e-08	1.9967052511335997e-09	0.4100058208805669	0.49999424727016517	0.021207461848974436	3.4265742544829633e-06	0.014392195933167005	3.7572476051180676e-10	2.3254041305174378e-06	0.04999999776319166	day25
7.111111111111111e-06	4.728908685223947e-08	1.4887093585420325e-09	0.41000580374666795	0.4999942472679422	0.021207464996720323	3.4265750560781664e-06	0.014392202925533115	3.75725037113214e-10	2.3254055513687267e-06	0.04999999776319165	day25
7.272727272727272e-06	3.514492002852833e-08	1.1177002015778156e-09	0.41000579123315156	0.49999424726628267	0.021207467295627648	3.426575662961325e-06	0.014392208032311535	3.757252438293768e-10	2.3254066036250884e-06	0.049999997763191646	day25
7.434343434343434e-06	2.6276209966585663e-08	8.467575537922931e-10	0.4100057820947468	0.4999942472650347	0.021207468974472822	3.4265761276106373e-06	0.014392211761699818	3.757253994955269e-10	2.325407386629012e-06	0.049999997763191646	day25
7.595959595959596e-06	1.979960810076955e-08	6.488947673700783e-10	0.4100057754212295	0.4999942472640873	0.021207470200478692	3.4265764883847543e-06	0.01439221448516234	3.7572551787918646e-10	2.3254079729943903e-06	0.049999997763191646	day25
7.757575757575758e-06	1.5069700477113237e-08	5.043941894699485e-10	0.41000577054754916	0.4999942472633594	0.02120747109582569	3.4265767733102147e-06	0.014392216474107605	3.7572560903952724e-10	2.3254084157761947e-06	0.04999999776319165	day25
7.919191919191919e-06	1.161551489850932e-08	3.98867431637189e-10	0.41000576698840446	0.4999942472627918	0.02120747174967149	3.426577002838574e-06	0.014392217926588121	3.757256803169417e-10	2.3254087536897627e-06	0.04999999776319164	day25
8.08080808080808e-06	9.092979433738743e-09	3.2180295878857194e-10	0.410005764389255	0.49999424726234126	0.021207472227150807	3.426577191910855e-06	0.014392218987292512	3.757257370740046e-10	2.3254090150188516e-06	0.04999999776319164	day25
8.242424242424241e-06	7.25078888572164e-09	2.6552329649911904e-10	0.41000576249114984	0.4999942472619762	0.021207472575837088	3.4265773514397613e-06	0.014392219761899262	3.7572578322746444e-10	2.325409220421511e-06	0.049999997763191646	day25
8.404040404040403e-06	5.905691531326887e-09	2.244300310887629e-10	0.41000576110526177	0.49999424726167363	0.02120747283042091	3.426577489382839e-06	0.014392220327469112	3.75725821633414e-10	2.3254093849615907e-06	0.049999997763191646	day25
8.565656565656566e-06	4.92391564386642e-09	1.944363826307545e-10	0.4100057600937491	0.4999942472614168	0.021207473016225983	3.426577611549005e-06	0.014392220740255554	3.7572585437676966e-10	2.3254095196355357e-06	0.049999997763191646	day25
8.727272727272726e-06	4.207107275317125e-09	1.7253759837709314e-10	0.41000575935526556	0.4999942472611931	0.021207473151871253	3.4265777222091924e-06	0.014392221041618247	3.757258829904395e-10	2.32540963252834e-06	0.049999997763191646	day25
8.888888888888888e-06	3.6832753163057993e-09	1.5653432111739749e-10	0.41000575881562973	0.4999942472609938	0.021207473250985032	3.426577824489552e-06	0.014392221261830781	3.757259085964503e-10	2.325409729557893e-06	0.04999999776319165	day25
9.05050505050505e-06	3.3003238608732946e-09	1.4483500011037593e-10	0.4100057584211606	0.4999942472608121	0.02120747332342936	3.4265779206523012e-06	0.01439222142280045	3.757259320067496e-10	2.325409815006637e-06	0.049999997763191646	day25
9.212121212121211e-06	3.0205524792104865e-09	1.3628787180050695e-10	0.41000575813301077	0.4999942472606434	0.02120747337634114	3.4265780123345486e-06	0.014392221540380987	3.757259538089226e-10	2.325409891973663e-06	0.049999997763191646	day25
9.373737373737373e-06	2.816313906327347e-09	1.3004830116541224e-10	0.41000575792269184	0.4999942472604842	0.021207473414954138	3.426578100736851e-06	0.01439222162619858	3.757259744338693e-10	2.3254099627316604e-06	0.04999999776319165	day25
9.535353535353535e-06	2.667179153820638e-09	1.254921744293846e-10	0.4100057577691532	0.49999424726033187	0.021207473443135685	3.4265781867463184e-06	0.014392221688843992	3.757259941999884e-10	2.3254100289599553e-06	0.04999999776319165	day25
9.696969696969696e-06	2.5581837787521214e-09	1.221623218468476e-10	0.4100057576569752	0.49999424726018465	0.021207473463718627	3.426578271012769e-06	0.014392221734610054	3.7572601334051024e-10	2.32541009188867e-06	0.04999999776319165	day25
9.858585858585858e-06	2.478517494217486e-09	1.1972848479273155e-10	0.4100057575750187	0.4999942472600411	0.02120747347874941	3.426578354005631e-06	0.014392221768042687	3.7572603202392e-10	2.3254101524064435e-06	0.049999997763191646	day25
1.002020202020202e-05	2.4204361674366736e-09	1.1795407687588593e-10	0.4100057575153038	0.49999424725990027	0.021207473489694043	3.4265784360611846e-06	0.014392221792398449	3.7572605037091475e-10	2.3254102111498677e-06	0.04999999776319165	day25
1.018181818181818e-05	2.3781557759195894e-09	1.1666239387173527e-10	0.41000575747187057	0.4999942472597614	0.021207473497647473	3.426578517430597e-06	0.014392221810109624	3.7572606847164234e-10	2.325410268594406e-06	0.049999997763191646	day25
1.0343434343434343e-05	2.3474496485496477e-09	1.1572430927923083e-10	0.4100057574403637	0.499994247259624	0.021207473503409832	3.426578598297407e-06	0.014392221822953606	3.7572608639197807e-10	2.3254103250875047e-06	0.049999997763191646	day25
1.0505050505050505e-05	2.3251730287605586e-09	1.1504374956682709e-10	0.4100057574175429	0.4999942472594877	0.021207473507576437	3.4265786787981726e-06	0.014392221832252822	3.7572610418093493e-10	2.3254103808876712e-06	0.04999999776319164	day25
1.0666666666666666e-05	2.3087176006797927e-09	1.1454102969739623e-10	0.41000575740072037	0.4999942472593521	0.02120747351064106	3.4265787590461583e-06	0.01439222183910412	3.757261218791651e-10	2.3254104362093183e-06	0.04999999776319164	day25
1.0828282828282828e-05	2.2966399759873013e-09	1.1417205337379653e-10	0.41000575738840883	0.49999424725921704	0.021207473512876943	3.4265788391040414e-06	0.014392221844114471	3.757261395091649e-10	2.3254104911710963e-06	0.04999999776319164	day25
1.098989898989899e-05	2.2875898225352697e-09	1.1389556741553565e-10	0.41000575737921685	0.49999424725908237	0.021207473514539707	3.4265789190304595e-06	0.014392221847851714	3.7572615709198e-10	2.325410545884007e-06	0.04999999776319164	day25
1.115151515151515e-05	2.2808973511886083e-09	1.1369110982587537e-10	0.41000575737245426	0.49999424725894803	0.02120747351575615	3.426578998854497e-06	0.014392221850597508	3.7572617463804936e-10	2.325410600403108e-06	0.04999999776319164	day25
